scorer,,,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven
labeled-data,Excellent-vlc-record-2025-12-02-23h58m41s-D10_S20250917133629_E20250917134451.mp4-,img095.png,1804.0,1831.0,1681.0,1841.0,,,1749.0,1844.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h48m30s-D9_S20250917111932_E20250917112754.mp4-,img0031.png,1139.0,1054.0,1090.0,918.0,853.0,1052.0,1127.0,979.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h48m30s-D9_S20250917111932_E20250917112754.mp4-,img0240.png,1199.0,1013.0,,,894.0,1085.0,1181.0,968.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h48m30s-D9_S20250917111932_E20250917112754.mp4-,img0344.png,1314.0,1032.0,1178.0,1013.0,1166.0,1241.0,1250.0,1010.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h48m30s-D9_S20250917111932_E20250917112754.mp4-,img0407.png,,,,,880.0,1065.0,1171.0,935.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h48m30s-D9_S20250917111932_E20250917112754.mp4-,img0439.png,1192.0,975.0,,,875.0,1067.0,1170.0,935.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h48m30s-D9_S20250917111932_E20250917112754.mp4-,img0604.png,1234.0,1165.0,1123.0,1116.0,1139.0,1204.0,1185.0,1134.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h48m30s-D9_S20250917111932_E20250917112754.mp4-,img0634.png,1052.0,1053.0,1004.0,955.0,,,1021.0,1006.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h48m30s-D9_S20250917111932_E20250917112754.mp4-,img0686.png,942.0,1071.0,899.0,966.0,,,,
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h48m30s-D9_S20250917111932_E20250917112754.mp4-,img0970.png,1075.0,987.0,1076.0,871.0,,,1068.0,934.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h48m30s-D9_S20250917111932_E20250917112754.mp4-,img1326.png,,,,,878.0,1061.0,1188.0,908.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h48m30s-D9_S20250917111932_E20250917112754.mp4-,img1383.png,1086.0,1053.0,1001.0,967.0,959.0,1037.0,1037.0,1010.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h48m30s-D9_S20250917111932_E20250917112754.mp4-,img1463.png,,,,,879.0,1073.0,1176.0,936.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h48m30s-D9_S20250917111932_E20250917112754.mp4-,img1650.png,1105.0,1010.0,1102.0,872.0,,,1091.0,939.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h48m30s-D9_S20250917111932_E20250917112754.mp4-,img1715.png,983.0,1110.0,,,876.0,1125.0,949.0,1057.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h48m30s-D9_S20250917111932_E20250917112754.mp4-,img1776.png,932.0,1107.0,,,855.0,1080.0,909.0,1057.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h48m30s-D9_S20250917111932_E20250917112754.mp4-,img1885.png,,,,,876.0,1068.0,1196.0,962.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h48m30s-D9_S20250917111932_E20250917112754.mp4-,img1918.png,,,,,927.0,1111.0,1206.0,934.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h48m30s-D9_S20250917111932_E20250917112754.mp4-,img2043.png,,,,,872.0,1053.0,1204.0,969.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h48m30s-D9_S20250917111932_E20250917112754.mp4-,img2125.png,,,1526.0,458.0,1385.0,484.0,1477.0,486.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h52m13s-D9_S20250917133500_E20250917134325.mp4-,img0013.png,1449.0,1106.0,1328.0,1069.0,1277.0,1318.0,1404.0,1079.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h52m13s-D9_S20250917133500_E20250917134325.mp4-,img0027.png,1530.0,1238.0,1425.0,1243.0,1400.0,1369.0,1482.0,1233.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h52m13s-D9_S20250917133500_E20250917134325.mp4-,img0107.png,1220.0,1201.0,1130.0,1123.0,,,1171.0,1166.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h52m13s-D9_S20250917133500_E20250917134325.mp4-,img0218.png,1156.0,1136.0,1106.0,1006.0,853.0,1058.0,1143.0,1075.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h52m13s-D9_S20250917133500_E20250917134325.mp4-,img0238.png,1164.0,1107.0,1115.0,988.0,850.0,1057.0,1145.0,1047.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h52m13s-D9_S20250917133500_E20250917134325.mp4-,img0481.png,1141.0,1075.0,1043.0,983.0,1004.0,1080.0,1099.0,1026.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h52m13s-D9_S20250917133500_E20250917134325.mp4-,img0616.png,,,961.0,942.0,764.0,1154.0,1007.0,989.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h52m13s-D9_S20250917133500_E20250917134325.mp4-,img0677.png,1157.0,1110.0,1117.0,968.0,858.0,1054.0,1153.0,1034.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h52m13s-D9_S20250917133500_E20250917134325.mp4-,img0768.png,1374.0,1142.0,1237.0,1077.0,1211.0,1249.0,1318.0,1099.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h52m13s-D9_S20250917133500_E20250917134325.mp4-,img0812.png,,,,,1191.0,1309.0,1512.0,973.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h52m13s-D9_S20250917133500_E20250917134325.mp4-,img0890.png,1443.0,1198.0,1344.0,1133.0,,,1387.0,1171.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h52m13s-D9_S20250917133500_E20250917134325.mp4-,img0957.png,1002.0,1073.0,986.0,955.0,790.0,937.0,999.0,1022.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h52m13s-D9_S20250917133500_E20250917134325.mp4-,img0989.png,1100.0,1138.0,1071.0,988.0,839.0,1038.0,1082.0,1065.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h52m13s-D9_S20250917133500_E20250917134325.mp4-,img1041.png,,,1170.0,972.0,864.0,1030.0,1190.0,1036.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h52m13s-D9_S20250917133500_E20250917134325.mp4-,img1091.png,1278.0,820.0,1378.0,735.0,1224.0,657.0,1331.0,767.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h52m13s-D9_S20250917133500_E20250917134325.mp4-,img1193.png,1161.0,1125.0,1132.0,974.0,860.0,1049.0,1155.0,1051.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h52m13s-D9_S20250917133500_E20250917134325.mp4-,img1329.png,1139.0,1062.0,1100.0,939.0,,,1117.0,1010.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h52m13s-D9_S20250917133500_E20250917134325.mp4-,img1415.png,1072.0,1134.0,1016.0,988.0,858.0,1099.0,1039.0,1066.0
labeled-data,Excellent.Long-vlc-record-2025-12-02-23h52m13s-D9_S20250917133500_E20250917134325.mp4-,img1480.png,,,,,870.0,1043.0,1208.0,994.0
labeled-data,Good-vlc-record-2025-12-02-23h33m18s-D2_S20250917115004_E20250917115825.mp4-,img0000.png,758.0,1422.0,,,843.0,1197.0,794.0,1450.0
labeled-data,Good-vlc-record-2025-12-02-23h33m18s-D2_S20250917115004_E20250917115825.mp4-,img0044.png,,,844.0,1256.0,,,794.0,1244.0
labeled-data,Good-vlc-record-2025-12-02-23h33m18s-D2_S20250917115004_E20250917115825.mp4-,img0095.png,,,986.0,1286.0,,,933.0,1237.0
labeled-data,Good-vlc-record-2025-12-02-23h33m18s-D2_S20250917115004_E20250917115825.mp4-,img0121.png,,,1105.0,1114.0,,,1058.0,1066.0
labeled-data,Good-vlc-record-2025-12-02-23h33m18s-D2_S20250917115004_E20250917115825.mp4-,img0189.png,1008.0,742.0,1143.0,750.0,,,1074.0,743.0
labeled-data,Good-vlc-record-2025-12-02-23h33m18s-D2_S20250917115004_E20250917115825.mp4-,img0224.png,1162.0,730.0,1222.0,826.0,1248.0,768.0,1184.0,775.0
labeled-data,Good-vlc-record-2025-12-02-23h33m18s-D2_S20250917115004_E20250917115825.mp4-,img0248.png,1381.0,910.0,1410.0,1022.0,,,1391.0,965.0
labeled-data,Good-vlc-record-2025-12-02-23h33m18s-D2_S20250917115004_E20250917115825.mp4-,img0270.png,1451.0,1024.0,1468.0,1129.0,,,1456.0,1076.0
labeled-data,Good-vlc-record-2025-12-02-23h33m18s-D2_S20250917115004_E20250917115825.mp4-,img0300.png,1344.0,947.0,1374.0,1073.0,1567.0,1044.0,1341.0,1009.0
labeled-data,Good-vlc-record-2025-12-02-23h33m18s-D2_S20250917115004_E20250917115825.mp4-,img0308.png,1321.0,940.0,1350.0,1076.0,1575.0,1043.0,1313.0,1001.0
labeled-data,Good-vlc-record-2025-12-02-23h33m18s-D2_S20250917115004_E20250917115825.mp4-,img0416.png,1108.0,803.0,1235.0,824.0,,,1184.0,812.0
labeled-data,Good-vlc-record-2025-12-02-23h33m18s-D2_S20250917115004_E20250917115825.mp4-,img0450.png,962.0,417.0,1077.0,422.0,,,1018.0,427.0
labeled-data,Good-vlc-record-2025-12-02-23h33m18s-D2_S20250917115004_E20250917115825.mp4-,img0474.png,824.0,476.0,897.0,395.0,715.0,416.0,880.0,431.0
labeled-data,Good-vlc-record-2025-12-02-23h33m18s-D2_S20250917115004_E20250917115825.mp4-,img0561.png,801.0,453.0,,,,,844.0,398.0
labeled-data,Good-vlc-record-2025-12-02-23h33m18s-D2_S20250917115004_E20250917115825.mp4-,img0614.png,809.0,437.0,909.0,379.0,789.0,359.0,867.0,410.0
labeled-data,Good-vlc-record-2025-12-02-23h33m18s-D2_S20250917115004_E20250917115825.mp4-,img0685.png,845.0,420.0,948.0,370.0,827.0,328.0,907.0,393.0
labeled-data,Good-vlc-record-2025-12-02-23h33m18s-D2_S20250917115004_E20250917115825.mp4-,img0727.png,840.0,426.0,954.0,375.0,831.0,324.0,903.0,397.0
labeled-data,Good-vlc-record-2025-12-02-23h33m18s-D2_S20250917115004_E20250917115825.mp4-,img0796.png,934.0,363.0,1042.0,383.0,1032.0,303.0,988.0,369.0
labeled-data,Good-vlc-record-2025-12-02-23h33m18s-D2_S20250917115004_E20250917115825.mp4-,img0945.png,878.0,383.0,985.0,339.0,,,929.0,352.0
labeled-data,Good-vlc-record-2025-12-02-23h33m18s-D2_S20250917115004_E20250917115825.mp4-,img0978.png,820.0,433.0,931.0,362.0,795.0,360.0,897.0,396.0
labeled-data,Good-vlc-record-2025-12-02-23h35m29s-D2_S20250917115004_E20250917115825.mp4-,img002.png,1001.0,1382.0,998.0,1531.0,1122.0,1428.0,990.0,1463.0
labeled-data,Good-vlc-record-2025-12-02-23h35m29s-D2_S20250917115004_E20250917115825.mp4-,img010.png,978.0,1277.0,1008.0,1417.0,,,990.0,1352.0
labeled-data,Good-vlc-record-2025-12-02-23h35m29s-D2_S20250917115004_E20250917115825.mp4-,img020.png,958.0,1207.0,1035.0,1316.0,1085.0,1196.0,985.0,1264.0
labeled-data,Good-vlc-record-2025-12-02-23h35m29s-D2_S20250917115004_E20250917115825.mp4-,img030.png,1077.0,1041.0,1141.0,1159.0,1332.0,1020.0,1090.0,1098.0
labeled-data,Good-vlc-record-2025-12-02-23h35m29s-D2_S20250917115004_E20250917115825.mp4-,img033.png,1172.0,1014.0,1208.0,1161.0,1452.0,1045.0,1167.0,1087.0
labeled-data,Good-vlc-record-2025-12-02-23h35m29s-D2_S20250917115004_E20250917115825.mp4-,img036.png,1233.0,997.0,1273.0,1149.0,1511.0,1051.0,1229.0,1069.0
labeled-data,Good-vlc-record-2025-12-02-23h35m29s-D2_S20250917115004_E20250917115825.mp4-,img050.png,1336.0,949.0,1323.0,1121.0,1578.0,1083.0,1314.0,1026.0
labeled-data,Good-vlc-record-2025-12-02-23h35m29s-D2_S20250917115004_E20250917115825.mp4-,img073.png,1329.0,968.0,1322.0,1139.0,1597.0,1078.0,1311.0,1042.0
labeled-data,Good-vlc-record-2025-12-02-23h35m29s-D2_S20250917115004_E20250917115825.mp4-,img103.png,1360.0,990.0,1354.0,1151.0,1539.0,1109.0,1351.0,1062.0
labeled-data,Good-vlc-record-2025-12-02-23h35m29s-D2_S20250917115004_E20250917115825.mp4-,img118.png,1349.0,914.0,1408.0,1024.0,1440.0,964.0,1365.0,973.0
labeled-data,Good-vlc-record-2025-12-02-23h35m29s-D2_S20250917115004_E20250917115825.mp4-,img124.png,1415.0,975.0,1466.0,1089.0,1505.0,1032.0,1430.0,1030.0
labeled-data,Good-vlc-record-2025-12-02-23h35m29s-D2_S20250917115004_E20250917115825.mp4-,img126.png,1445.0,999.0,1500.0,1115.0,1529.0,1052.0,1466.0,1052.0
labeled-data,Good-vlc-record-2025-12-02-23h35m29s-D2_S20250917115004_E20250917115825.mp4-,img160.png,1106.0,778.0,1243.0,815.0,,,1171.0,789.0
labeled-data,Good-vlc-record-2025-12-02-23h35m29s-D2_S20250917115004_E20250917115825.mp4-,img162.png,1139.0,763.0,1264.0,834.0,1244.0,743.0,1188.0,794.0
labeled-data,Good-vlc-record-2025-12-02-23h35m29s-D2_S20250917115004_E20250917115825.mp4-,img170.png,1281.0,834.0,1371.0,963.0,1387.0,860.0,1304.0,897.0
labeled-data,Good-vlc-record-2025-12-02-23h35m29s-D2_S20250917115004_E20250917115825.mp4-,img171.png,1308.0,849.0,1385.0,974.0,,,1337.0,905.0
labeled-data,Good-vlc-record-2025-12-02-23h35m29s-D2_S20250917115004_E20250917115825.mp4-,img209.png,1436.0,979.0,1494.0,1091.0,1631.0,1011.0,1458.0,1028.0
labeled-data,Good-vlc-record-2025-12-02-23h35m29s-D2_S20250917115004_E20250917115825.mp4-,img221.png,1332.0,1006.0,1373.0,1129.0,1619.0,992.0,1317.0,1074.0
labeled-data,Good-vlc-record-2025-12-02-23h41m34s-D5_S20250917111633_E20250917112452.mp4-,img011.png,1717.0,957.0,1660.0,1073.0,,,1696.0,1019.0
labeled-data,Good-vlc-record-2025-12-02-23h41m34s-D5_S20250917111633_E20250917112452.mp4-,img013.png,1719.0,961.0,1670.0,1074.0,,,1702.0,1021.0
labeled-data,Good-vlc-record-2025-12-02-23h41m34s-D5_S20250917111633_E20250917112452.mp4-,img019.png,1706.0,960.0,1655.0,1075.0,,,1689.0,1019.0
labeled-data,Good-vlc-record-2025-12-02-23h41m34s-D5_S20250917111633_E20250917112452.mp4-,img022.png,1715.0,959.0,1671.0,1071.0,,,1702.0,1016.0
labeled-data,Good-vlc-record-2025-12-02-23h41m34s-D5_S20250917111633_E20250917112452.mp4-,img031.png,1705.0,967.0,1653.0,1076.0,1700.0,1081.0,1672.0,1022.0
labeled-data,Good-vlc-record-2025-12-02-23h41m34s-D5_S20250917111633_E20250917112452.mp4-,img034.png,1711.0,968.0,1648.0,1077.0,,,1687.0,1029.0
labeled-data,Good-vlc-record-2025-12-02-23h41m34s-D5_S20250917111633_E20250917112452.mp4-,img043.png,1690.0,954.0,1633.0,1087.0,1754.0,1060.0,1662.0,1022.0
labeled-data,Good-vlc-record-2025-12-02-23h41m34s-D5_S20250917111633_E20250917112452.mp4-,img046.png,1693.0,956.0,1645.0,1074.0,1751.0,1060.0,1662.0,1018.0
labeled-data,Good-vlc-record-2025-12-02-23h41m34s-D5_S20250917111633_E20250917112452.mp4-,img077.png,1703.0,951.0,1667.0,1060.0,1759.0,1037.0,1685.0,1007.0
labeled-data,Good-vlc-record-2025-12-02-23h41m34s-D5_S20250917111633_E20250917112452.mp4-,img088.png,1716.0,949.0,1690.0,1065.0,,,1712.0,1008.0
labeled-data,Good-vlc-record-2025-12-02-23h41m34s-D5_S20250917111633_E20250917112452.mp4-,img097.png,1711.0,947.0,1669.0,1063.0,,,1699.0,1005.0
labeled-data,Good-vlc-record-2025-12-02-23h41m34s-D5_S20250917111633_E20250917112452.mp4-,img102.png,1707.0,952.0,1671.0,1059.0,1751.0,1036.0,1698.0,1009.0
labeled-data,Good-vlc-record-2025-12-02-23h41m34s-D5_S20250917111633_E20250917112452.mp4-,img106.png,1693.0,946.0,1660.0,1070.0,1751.0,1046.0,1682.0,1008.0
labeled-data,Good-vlc-record-2025-12-02-23h41m34s-D5_S20250917111633_E20250917112452.mp4-,img108.png,1709.0,957.0,1676.0,1064.0,1758.0,1047.0,1699.0,1012.0
labeled-data,Good-vlc-record-2025-12-02-23h41m34s-D5_S20250917111633_E20250917112452.mp4-,img120.png,1717.0,941.0,1693.0,1063.0,1755.0,1064.0,1701.0,1006.0
labeled-data,Good-vlc-record-2025-12-02-23h41m34s-D5_S20250917111633_E20250917112452.mp4-,img130.png,1713.0,945.0,1688.0,1059.0,1765.0,1061.0,1700.0,1005.0
labeled-data,Good-vlc-record-2025-12-02-23h41m34s-D5_S20250917111633_E20250917112452.mp4-,img132.png,1715.0,933.0,1699.0,1050.0,1775.0,1053.0,1705.0,996.0
labeled-data,Good-vlc-record-2025-12-02-23h41m34s-D5_S20250917111633_E20250917112452.mp4-,img135.png,1718.0,946.0,1704.0,1050.0,1769.0,1049.0,1713.0,1006.0
labeled-data,Good-vlc-record-2025-12-02-23h41m34s-D5_S20250917111633_E20250917112452.mp4-,img145.png,1721.0,941.0,1705.0,1055.0,1765.0,1052.0,1715.0,998.0
labeled-data,Good-vlc-record-2025-12-02-23h41m34s-D5_S20250917111633_E20250917112452.mp4-,img152.png,1720.0,949.0,1702.0,1059.0,,,1717.0,1006.0
